#    201
polymer number    rg squared    mean rg
559.0000    13.0426     3.5669
560.0000    11.7173     3.3829
561.0000    17.5552     4.1166
562.0000    91.4486     9.5499
563.0000   1459.7467    38.1520
564.0000    18.4688     4.2319
565.0000    97.4107     9.7921
566.0000   1200.3347    34.4667
567.0000   416.1898    20.2214
568.0000    17.0000     4.0404
569.0000   478.7034    21.7541
570.0000    19.0516     4.2847
571.0000   111.3920    10.3790
572.0000    22.3687     4.6391
573.0000   1696.6795    41.1077
574.0000   305.4670    17.2343
575.0000    53.5221     7.2430
576.0000    16.5588     4.0023
577.0000   233.8763    15.1488
578.0000    13.0990     3.5882
579.0000   376.4266    19.3614
580.0000   335.0846    18.2323
581.0000    14.6722     3.7584
582.0000   137.9546    11.7031
583.0000    14.1726     3.6997
584.0000    15.3966     3.8390
585.0000   311.2756    17.4977
586.0000   910.0485    30.1092
587.0000    17.8613     4.1033
588.0000    16.2702     3.9804
589.0000   725.1376    26.8780
590.0000   1502.3643    38.6466
591.0000   1096.0449    33.0914
592.0000    14.4144     3.7065
593.0000    15.6073     3.9031
594.0000   1380.5644    37.1279
595.0000   690.6031    26.2627
596.0000    16.3527     4.0011
597.0000    14.6598     3.7957
598.0000   138.7805    11.6279
599.0000    15.2755     3.8041
600.0000    21.1793     4.5118
601.0000   126.3641    11.1947
602.0000   1020.1344    31.8109
603.0000    16.6086     3.9977
604.0000   3065.5471    55.3236
605.0000   439.1679    20.8664
606.0000   1312.7156    36.1611
607.0000    55.1749     7.3575
608.0000    14.4776     3.6896
609.0000   4433.0044    66.5245
610.0000   222.1142    14.8595
611.0000    12.1524     3.3932
612.0000   726.1049    26.7894
613.0000    16.9498     4.0029
614.0000   981.5252    31.2329
615.0000    13.4248     3.6368
616.0000    10.8560     3.2617
617.0000   150.9073    12.1686
618.0000    17.3441     4.1376
619.0000   457.4680    21.3658
620.0000    15.1573     3.7964
621.0000    13.1583     3.5779
622.0000    15.2863     3.8622
623.0000   951.2752    30.7195
624.0000   582.2870    24.0344
625.0000    18.6368     4.1685
626.0000   125.9502    10.6733
627.0000   408.2844    20.1652
628.0000   1009.6950    31.6809
629.0000    12.6080     3.4825
630.0000   516.3156    22.5889
631.0000    19.2326     4.2943
632.0000   614.3428    24.7423
633.0000   254.7753    15.8936
634.0000    12.8344     3.5113
635.0000   844.5471    28.9201
636.0000   328.0226    18.0656
637.0000    13.3739     3.5844
638.0000   278.8765    16.5803
639.0000    25.0984     4.9489
640.0000   115.8225    10.6990
641.0000    11.5851     3.3674
642.0000   550.2569    23.3567
643.0000    23.6419     4.8006
644.0000    20.1472     4.4376
645.0000   403.1494    20.0063
646.0000   435.1062    20.8409
647.0000    12.0904     3.4000
648.0000    12.7046     3.4590
649.0000    15.5630     3.8572
650.0000   192.6505    13.8601
651.0000    18.0595     4.2022
652.0000   390.3582    19.6342
653.0000    15.5176     3.8288
654.0000   609.4214    24.5363
655.0000    13.0481     3.5480
656.0000   451.8368    21.2039
657.0000   1420.6780    37.5992
658.0000    15.6563     3.9075
659.0000   459.9194    21.4052
660.0000    15.2098     3.8081
661.0000    17.1576     4.0347
662.0000    19.5320     4.3519
663.0000   2289.0193    47.7790
664.0000   2481.7711    49.7765
665.0000    14.9413     3.8301
666.0000    32.7030     5.6755
667.0000    12.6423     3.4978
668.0000    11.2157     3.3204
669.0000   714.3822    26.6858
670.0000    49.3987     6.7320
671.0000    17.2711     4.1217
672.0000   1198.4083    34.5322
